,id,link,year,week,result
111,111,https://www.transfermarkt.com/trabzonspor_antalyaspor/index/spielbericht/1097353,1,13,2
112,112,https://www.transfermarkt.com/galatasaray_samsunspor/index/spielbericht/1097354,1,13,2
113,113,https://www.transfermarkt.com/bursaspor_caykur-rizespor/index/spielbericht/1097355,1,13,1
114,114,https://www.transfermarkt.com/mke-ankaragucu_kocaelispor/index/spielbericht/1097356,1,13,2
115,115,https://www.transfermarkt.com/gaziantepspor_genclerbirligi-ankara/index/spielbericht/1097357,1,13,5
116,116,https://www.transfermarkt.com/besiktas-jk_malatyaspor/index/spielbericht/1097358,1,13,2
117,117,https://www.transfermarkt.com/galatasaray_istanbulspor/index/spielbericht/1097359,1,14,3
118,118,https://www.transfermarkt.com/yimpas-yozgatspor_mke-ankaragucu/index/spielbericht/1097360,1,14,-2
119,119,https://www.transfermarkt.com/caykur-rizespor_diyarbakirspor/index/spielbericht/1097361,1,14,2
120,120,https://www.transfermarkt.com/denizlispor_samsunspor/index/spielbericht/1097362,1,14,3
121,121,https://www.transfermarkt.com/kocaelispor_gaziantepspor/index/spielbericht/1097363,1,14,0
122,122,https://www.transfermarkt.com/genclerbirligi-ankara_goztepe/index/spielbericht/1097364,1,14,-1
123,123,https://www.transfermarkt.com/malatyaspor_trabzonspor/index/spielbericht/1097365,1,14,1
124,124,https://www.transfermarkt.com/antalyaspor_bursaspor/index/spielbericht/1097366,1,14,3
125,125,https://www.transfermarkt.com/fenerbahce_besiktas-jk/index/spielbericht/1097367,1,14,-1
126,126,https://www.transfermarkt.com/besiktas-jk_genclerbirligi-ankara/index/spielbericht/1097368,1,15,1
127,127,https://www.transfermarkt.com/istanbulspor_denizlispor/index/spielbericht/1097369,1,15,0
128,128,https://www.transfermarkt.com/bursaspor_malatyaspor/index/spielbericht/1097370,1,15,1
129,129,https://www.transfermarkt.com/goztepe_gaziantepspor/index/spielbericht/1097371,1,15,-2
130,130,https://www.transfermarkt.com/trabzonspor_fenerbahce/index/spielbericht/1097372,1,15,1
131,131,https://www.transfermarkt.com/caykur-rizespor_samsunspor/index/spielbericht/1097373,1,15,1
132,132,https://www.transfermarkt.com/diyarbakirspor_antalyaspor/index/spielbericht/1097374,1,15,2
133,133,https://www.transfermarkt.com/yimpas-yozgatspor_kocaelispor/index/spielbericht/1097375,1,15,4
134,134,https://www.transfermarkt.com/mke-ankaragucu_galatasaray/index/spielbericht/1097376,1,15,1
135,135,https://www.transfermarkt.com/fenerbahce_bursaspor/index/spielbericht/1097377,1,16,2
136,136,https://www.transfermarkt.com/gaziantepspor_yimpas-yozgatspor/index/spielbericht/1097378,1,16,1
137,137,https://www.transfermarkt.com/antalyaspor_samsunspor/index/spielbericht/1097379,1,16,0
138,138,https://www.transfermarkt.com/denizlispor_mke-ankaragucu/index/spielbericht/1097380,1,16,-1
139,139,https://www.transfermarkt.com/goztepe_besiktas-jk/index/spielbericht/1097381,1,16,-6
140,140,https://www.transfermarkt.com/caykur-rizespor_istanbulspor/index/spielbericht/1097382,1,16,0
141,141,https://www.transfermarkt.com/genclerbirligi-ankara_trabzonspor/index/spielbericht/1097383,1,16,0
142,142,https://www.transfermarkt.com/malatyaspor_diyarbakirspor/index/spielbericht/1097384,1,16,-2
143,143,https://www.transfermarkt.com/galatasaray_kocaelispor/index/spielbericht/1097385,1,16,4
144,144,https://www.transfermarkt.com/diyarbakirspor_fenerbahce/index/spielbericht/1097386,1,17,1
145,145,https://www.transfermarkt.com/malatyaspor_samsunspor/index/spielbericht/1097387,1,17,-2
146,146,https://www.transfermarkt.com/trabzonspor_goztepe/index/spielbericht/1097388,1,17,3
147,147,https://www.transfermarkt.com/kocaelispor_denizlispor/index/spielbericht/1097389,1,17,1
148,148,https://www.transfermarkt.com/mke-ankaragucu_caykur-rizespor/index/spielbericht/1097390,1,17,0
149,149,https://www.transfermarkt.com/istanbulspor_antalyaspor/index/spielbericht/1097391,1,17,3
150,150,https://www.transfermarkt.com/bursaspor_genclerbirligi-ankara/index/spielbericht/1097392,1,17,-1
151,151,https://www.transfermarkt.com/besiktas-jk_gaziantepspor/index/spielbericht/1097393,1,17,2
152,152,https://www.transfermarkt.com/yimpas-yozgatspor_galatasaray/index/spielbericht/1097394,1,17,0
153,153,https://www.transfermarkt.com/samsunspor_fenerbahce/index/spielbericht/1119097,1,18,1
154,154,https://www.transfermarkt.com/diyarbakirspor_genclerbirligi-ankara/index/spielbericht/1119098,1,18,-1
155,155,https://www.transfermarkt.com/malatyaspor_istanbulspor/index/spielbericht/1119099,1,18,2
156,156,https://www.transfermarkt.com/mke-ankaragucu_antalyaspor/index/spielbericht/1119100,1,18,2
157,157,https://www.transfermarkt.com/galatasaray_gaziantepspor/index/spielbericht/1119101,1,18,2
158,158,https://www.transfermarkt.com/bursaspor_goztepe/index/spielbericht/1119102,1,18,0
159,159,https://www.transfermarkt.com/yimpas-yozgatspor_denizlispor/index/spielbericht/1119103,1,18,-1
160,160,https://www.transfermarkt.com/kocaelispor_caykur-rizespor/index/spielbericht/1119104,1,18,1
161,161,https://www.transfermarkt.com/trabzonspor_besiktas-jk/index/spielbericht/1119105,1,18,-5
162,162,https://www.transfermarkt.com/malatyaspor_mke-ankaragucu/index/spielbericht/1119106,1,19,3
163,163,https://www.transfermarkt.com/fenerbahce_istanbulspor/index/spielbericht/1119107,1,19,2
164,164,https://www.transfermarkt.com/samsunspor_genclerbirligi-ankara/index/spielbericht/1119247,1,19,-2
165,165,https://www.transfermarkt.com/goztepe_diyarbakirspor/index/spielbericht/1119108,1,19,2
166,166,https://www.transfermarkt.com/caykur-rizespor_yimpas-yozgatspor/index/spielbericht/1119109,1,19,0
167,167,https://www.transfermarkt.com/antalyaspor_kocaelispor/index/spielbericht/1119110,1,19,2
168,168,https://www.transfermarkt.com/gaziantepspor_trabzonspor/index/spielbericht/1119111,1,19,3
169,169,https://www.transfermarkt.com/denizlispor_galatasaray/index/spielbericht/1119112,1,19,0
170,170,https://www.transfermarkt.com/besiktas-jk_bursaspor/index/spielbericht/1119113,1,19,1
171,171,https://www.transfermarkt.com/mke-ankaragucu_fenerbahce/index/spielbericht/1119114,1,20,1
172,172,https://www.transfermarkt.com/yimpas-yozgatspor_antalyaspor/index/spielbericht/1119248,1,20,1
173,173,https://www.transfermarkt.com/denizlispor_gaziantepspor/index/spielbericht/1119115,1,20,3
174,174,https://www.transfermarkt.com/samsunspor_goztepe/index/spielbericht/1119116,1,20,-1
175,175,https://www.transfermarkt.com/malatyaspor_kocaelispor/index/spielbericht/1119117,1,20,1
176,176,https://www.transfermarkt.com/istanbulspor_genclerbirligi-ankara/index/spielbericht/1119118,1,20,0
177,177,https://www.transfermarkt.com/bursaspor_trabzonspor/index/spielbericht/1119119,1,20,0
178,178,https://www.transfermarkt.com/diyarbakirspor_besiktas-jk/index/spielbericht/1119120,1,20,0
179,179,https://www.transfermarkt.com/galatasaray_caykur-rizespor/index/spielbericht/1119121,1,20,3
180,180,https://www.transfermarkt.com/fenerbahce_kocaelispor/index/spielbericht/1119122,1,21,3
181,181,https://www.transfermarkt.com/caykur-rizespor_denizlispor/index/spielbericht/1119123,1,21,2
182,182,https://www.transfermarkt.com/trabzonspor_diyarbakirspor/index/spielbericht/1119124,1,21,-2
183,183,https://www.transfermarkt.com/gaziantepspor_bursaspor/index/spielbericht/1119125,1,21,3
184,184,https://www.transfermarkt.com/besiktas-jk_samsunspor/index/spielbericht/1119126,1,21,0
185,185,https://www.transfermarkt.com/genclerbirligi-ankara_mke-ankaragucu/index/spielbericht/1119127,1,21,-1
186,186,https://www.transfermarkt.com/goztepe_istanbulspor/index/spielbericht/1119128,1,21,0
187,187,https://www.transfermarkt.com/malatyaspor_yimpas-yozgatspor/index/spielbericht/1119129,1,21,1
188,188,https://www.transfermarkt.com/antalyaspor_galatasaray/index/spielbericht/1119130,1,21,0
189,189,https://www.transfermarkt.com/galatasaray_malatyaspor/index/spielbericht/1119131,1,22,1
190,190,https://www.transfermarkt.com/diyarbakirspor_bursaspor/index/spielbericht/1119132,1,22,-1
191,191,https://www.transfermarkt.com/mke-ankaragucu_goztepe/index/spielbericht/1119133,1,22,2
192,192,https://www.transfermarkt.com/yimpas-yozgatspor_fenerbahce/index/spielbericht/1119134,1,22,-1
193,193,https://www.transfermarkt.com/denizlispor_antalyaspor/index/spielbericht/1119135,1,22,1
194,194,https://www.transfermarkt.com/istanbulspor_besiktas-jk/index/spielbericht/1119136,1,22,-1
195,195,https://www.transfermarkt.com/caykur-rizespor_gaziantepspor/index/spielbericht/1119137,1,22,1
196,196,https://www.transfermarkt.com/kocaelispor_genclerbirligi-ankara/index/spielbericht/1119138,1,22,-1
197,197,https://www.transfermarkt.com/samsunspor_trabzonspor/index/spielbericht/1119139,1,22,-1
198,198,https://www.transfermarkt.com/gaziantepspor_diyarbakirspor/index/spielbericht/1119140,1,23,-1
199,199,https://www.transfermarkt.com/samsunspor_bursaspor/index/spielbericht/1119141,1,23,-1
200,200,https://www.transfermarkt.com/malatyaspor_denizlispor/index/spielbericht/1119142,1,23,0
201,201,https://www.transfermarkt.com/genclerbirligi-ankara_yimpas-yozgatspor/index/spielbericht/1119143,1,23,1
202,202,https://www.transfermarkt.com/fenerbahce_galatasaray/index/spielbericht/1119144,1,23,1
203,203,https://www.transfermarkt.com/goztepe_kocaelispor/index/spielbericht/1119145,1,23,3
204,204,https://www.transfermarkt.com/trabzonspor_istanbulspor/index/spielbericht/1119146,1,23,2
205,205,https://www.transfermarkt.com/antalyaspor_caykur-rizespor/index/spielbericht/1119147,1,23,0
206,206,https://www.transfermarkt.com/besiktas-jk_mke-ankaragucu/index/spielbericht/1119148,1,23,-1
207,207,https://www.transfermarkt.com/kocaelispor_besiktas-jk/index/spielbericht/1119149,1,24,-2
208,208,https://www.transfermarkt.com/samsunspor_diyarbakirspor/index/spielbericht/1119150,1,24,0
209,209,https://www.transfermarkt.com/istanbulspor_bursaspor/index/spielbericht/1119151,1,24,3
210,210,https://www.transfermarkt.com/antalyaspor_gaziantepspor/index/spielbericht/1119152,1,24,0
211,211,https://www.transfermarkt.com/galatasaray_genclerbirligi-ankara/index/spielbericht/1119153,1,24,2
212,212,https://www.transfermarkt.com/yimpas-yozgatspor_goztepe/index/spielbericht/1119154,1,24,0
213,213,https://www.transfermarkt.com/caykur-rizespor_malatyaspor/index/spielbericht/1119155,1,24,0
214,214,https://www.transfermarkt.com/mke-ankaragucu_trabzonspor/index/spielbericht/1119156,1,24,2
215,215,https://www.transfermarkt.com/denizlispor_fenerbahce/index/spielbericht/1119157,1,24,-1
216,216,https://www.transfermarkt.com/fenerbahce_caykur-rizespor/index/spielbericht/1119158,1,25,1
